in s,C2 in V
4.0736736E-02,-1.54555E-01
4.0736880E-02,-1.52602E-01
4.0737024E-02,-1.42836E-01
4.0737168E-02,-1.35023E-01
4.0737312E-02,-1.23305E-01
4.0737456E-02,-1.29164E-01
4.0737600E-02,-1.15492E-01
4.0737744E-02,-1.17445E-01
4.0737888E-02,-1.07680E-01
4.0738032E-02,-9.79141E-02
4.0738176E-02,-9.79141E-02
4.0738320E-02,-8.42422E-02
4.0738464E-02,-7.05703E-02
4.0738608E-02,-6.86172E-02
4.0738752E-02,-5.68984E-02
4.0738896E-02,-5.10391E-02
4.0739040E-02,-3.93203E-02
4.0739184E-02,-3.54141E-02
4.0739328E-02,-1.19766E-02
4.0739472E-02,-8.07031E-03
4.0739616E-02,5.60156E-03
4.0739760E-02,1.53672E-02
4.0739904E-02,2.12266E-02
4.0740048E-02,2.51328E-02
4.0740192E-02,3.68516E-02
4.0740336E-02,4.27109E-02
4.0740480E-02,5.44297E-02
4.0740624E-02,6.02891E-02
4.0740768E-02,6.61484E-02
4.0740912E-02,6.61484E-02
4.0741056E-02,7.20078E-02
4.0741200E-02,6.81016E-02
4.0741344E-02,7.59141E-02
4.0741488E-02,7.20078E-02
4.0741632E-02,6.02891E-02
4.0741776E-02,5.44297E-02
4.0741920E-02,5.44297E-02
4.0742064E-02,4.66172E-02
4.0742208E-02,2.90391E-02
4.0742352E-02,1.73203E-02
4.0742496E-02,5.60156E-03
4.0742640E-02,-1.78359E-02
4.0742784E-02,-4.12734E-02
4.0742928E-02,-6.27578E-02
4.0743072E-02,-8.61953E-02
4.0743216E-02,-1.07680E-01
4.0743360E-02,-1.40883E-01
4.0743504E-02,-1.64320E-01
4.0743648E-02,-2.05336E-01
4.0743792E-02,-2.32680E-01
4.0743936E-02,-2.71742E-01
4.0744080E-02,-3.16664E-01
4.0744224E-02,-3.49867E-01
4.0744368E-02,-3.88930E-01
4.0744512E-02,-4.27992E-01
4.0744656E-02,-4.72914E-01
4.0744800E-02,-5.08070E-01
4.0744944E-02,-5.51039E-01
4.0745088E-02,-5.99867E-01
4.0745232E-02,-6.50648E-01
4.0745376E-02,-6.89711E-01
4.0745520E-02,-7.38539E-01
4.0745664E-02,-7.85414E-01
4.0745808E-02,-8.14711E-01
4.0745952E-02,-8.61586E-01
4.0746096E-02,-9.00648E-01
4.0746240E-02,-9.35805E-01
4.0746384E-02,-9.90492E-01
4.0746528E-02,-1.02565E+00
4.0746672E-02,-1.05885E+00
4.0746816E-02,-1.09596E+00
4.0746960E-02,-1.13112E+00
4.0747104E-02,-1.16041E+00
4.0747248E-02,-1.19557E+00
4.0747392E-02,-1.22682E+00
4.0747536E-02,-1.24830E+00
4.0747680E-02,-1.27174E+00
4.0747824E-02,-1.29518E+00
4.0747968E-02,-1.30885E+00
4.0748112E-02,-1.33424E+00
4.0748256E-02,-1.34205E+00
4.0748400E-02,-1.35963E+00
4.0748544E-02,-1.36549E+00
4.0748688E-02,-1.37721E+00
4.0748832E-02,-1.37526E+00
4.0748976E-02,-1.38112E+00
4.0749120E-02,-1.38112E+00
4.0749264E-02,-1.37916E+00
4.0749408E-02,-1.37916E+00
4.0749552E-02,-1.37721E+00
4.0749696E-02,-1.36745E+00
4.0749840E-02,-1.35963E+00
4.0749984E-02,-1.34596E+00
4.0750128E-02,-1.33424E+00
4.0750272E-02,-1.32252E+00
4.0750416E-02,-1.31080E+00
4.0750560E-02,-1.27955E+00
4.0750704E-02,-1.26198E+00
4.0750848E-02,-1.23463E+00
4.0750992E-02,-1.23073E+00
4.0751136E-02,-1.19948E+00
4.0751280E-02,-1.18385E+00
4.0751424E-02,-1.15455E+00
4.0751568E-02,-1.13112E+00
4.0751712E-02,-1.10768E+00
4.0751856E-02,-1.07838E+00
4.0752000E-02,-1.05690E+00
4.0752144E-02,-1.01784E+00
4.0752288E-02,-1.00221E+00
4.0752432E-02,-9.78773E-01
4.0752576E-02,-9.41664E-01
4.0752720E-02,-9.26039E-01
4.0752864E-02,-8.94789E-01
4.0753008E-02,-8.71352E-01
4.0753152E-02,-8.49867E-01
4.0753296E-02,-8.20570E-01
4.0753440E-02,-8.02992E-01
4.0753584E-02,-7.91273E-01
4.0753728E-02,-7.63930E-01
4.0753872E-02,-7.40492E-01
4.0754016E-02,-7.24867E-01
4.0754160E-02,-7.07289E-01
4.0754304E-02,-6.87758E-01
4.0754448E-02,-6.79945E-01
4.0754592E-02,-6.66273E-01
4.0754736E-02,-6.62367E-01
4.0754880E-02,-6.35023E-01
4.0755024E-02,-6.44789E-01
4.0755168E-02,-6.21352E-01
4.0755312E-02,-6.31117E-01
4.0755456E-02,-6.15492E-01
4.0755600E-02,-6.29164E-01
4.0755744E-02,-6.15492E-01
4.0755888E-02,-6.35023E-01
4.0756032E-02,-6.21352E-01
4.0756176E-02,-6.36977E-01
4.0756320E-02,-6.42836E-01
4.0756464E-02,-6.48695E-01
4.0756608E-02,-6.50648E-01
4.0756752E-02,-6.68227E-01
4.0756896E-02,-6.77992E-01
4.0757040E-02,-6.93617E-01
4.0757184E-02,-7.07289E-01
4.0757328E-02,-7.20961E-01
4.0757472E-02,-7.32680E-01
4.0757616E-02,-7.50258E-01
4.0757760E-02,-7.69789E-01
4.0757904E-02,-7.87367E-01
4.0758048E-02,-8.10805E-01
4.0758192E-02,-8.28383E-01
4.0758336E-02,-8.51820E-01
4.0758480E-02,-8.73305E-01
4.0758624E-02,-8.90883E-01
4.0758768E-02,-9.04555E-01
4.0758912E-02,-9.24086E-01
4.0759056E-02,-9.49477E-01
4.0759200E-02,-9.69008E-01
