n,frequency (kHz),V_out (V),V_out error (V),V_in (V),V_in error (V)
0,0.02,2.719,0.005,2.964,0.009
1,5.762,2.583,0.004,2.741,0.009
2,11.59,2.532,0.005,2.713,0.009
3,17.54,2.489,0.005,2.642,0.008
4,23.17,2.400,0.005,2.677,0.010
5,28.99,2.317,0.005,2.660,0.010
6,34.68,2.283,0.005,2.571,0.008
7,40.32,2.171,0.005,2.672,0.011
8,45.95,2.136,0.005,2.620,0.008
9,51.54,2.144,0.005,2.439,0.010
10,57.03,2.053,0.005,2.500,0.009
11,62.33,1.926,0.005,2.625,0.009
12,67.70,1.890,0.005,2.449,0.011
13,72.71,1.828,0.005,2.448,0.011
14,77.20,1.826,0.005,2.235,0.011
15,82.58,1.563,0.005,2.777,0.008
16,87.69,1.590,0.004,2.669,0.010
17,92.14,1.599,0.005,2.380,0.010
18,96.95,1.529,0.005,2.254,0.010
19,101.20,1.411,0.005,2.182,0.009
20,105.30,1.265,0.005,2.634,0.007
21,109.30,1.288,0.005,2.325,0.010
22,113.10,1.189,0.005,2.579,0.009
23,116.90,1.043,0.005,2.488,0.008
24,120.50,0.897,0.005,2.999,0.008
25,124.20,0.771,0.005,3.056,0.008
26,127.20,0.761,0.005,2.421,0.008
27,130.10,0.638,0.005,2.813,0.010
28,132.90,0.611,0.005,3.040,0.008
29,135.60,0.507,0.005,3.191,0.010
30,137.90,0.434,0.006,3.127,0.008
31,140.10,0.319,0.006,3.282,0.009
32,142.30,0.254,0.005,3.495,0.001
33,144.10,0.178,0.006,3.484,0.008
